Age,Gender,Location,Lead_Source,Interest_Level,Follow_Ups,Lead_Converted,Course,Course_Level,Course_Duration_Weeks,Attendance,Test_Score,Project_Marks,Performance_Score,PIP_Flag,Top_Performer_Flag,Joined,Employment_Type,Basic_Salary,HRA,TA,PF,CTC
26,Male,Poland,LinkedIn,2,2,0,Data Science,Advanced,4,80,85,80,82.0,0,0,0,Contract,2356,567.58,191.9,269.01,3384.49
39,Male,Spain,Referral,3,7,1,ML Engineering,Beginner,11,95,91,47,74.2,0,0,1,Contract,2165,477.44,258.42,220.17,3121.02
34,Male,France,LinkedIn,5,4,1,Business Analytics,Intermediate,23,99,49,85,73.4,0,0,1,Contract,2398,503.8,235.47,275.37,3412.64
30,Male,Spain,Website,4,7,1,Python,Advanced,19,98,85,68,80.8,0,0,1,Permanent,2764,621.65,260.84,314.73,3961.22
27,Male,Germany,Referral,5,2,1,HR Analytics,Beginner,16,65,67,66,66.2,0,0,1,Contract,2488,590.34,228.17,261.28,3567.79
40,Male,France,LinkedIn,1,3,0,Business Analytics,Advanced,21,64,72,93,78.8,0,0,0,Contract,1810,326.52,157.42,190.15,2484.09
26,Female,France,Referral,3,1,0,Business Analytics,Intermediate,23,73,82,58,70.6,0,0,0,Contract,2617,652.78,292.22,294.61,3856.62
38,Male,Poland,Referral,1,3,0,ML Engineering,Beginner,13,63,65,86,73.0,0,0,0,Contract,2218,427.64,262.2,255.61,3163.45
42,Male,Italy,Walk-in,1,2,0,Data Science,Advanced,15,67,94,89,86.6,0,1,0,Contract,2945,627.04,284.33,346.13,4202.49
30,Male,France,Email Campaign,2,2,0,ML Engineering,Advanced,4,83,89,88,87.4,0,1,0,Contract,2710,653.22,320.04,317.19,4000.45
30,Female,Italy,LinkedIn,3,2,0,Data Science,Intermediate,13,70,87,71,77.2,0,0,0,Contract,2147,420.28,242.51,256.13,3065.92
43,Male,Spain,LinkedIn,1,7,1,Data Science,Intermediate,12,76,68,77,73.2,0,0,1,Contract,2757,588.28,273.61,307.76,3926.64
40,Male,Germany,LinkedIn,4,5,1,Business Analytics,Beginner,6,80,66,66,68.8,0,0,1,Contract,2211,418.5,236.49,261.28,3127.27
23,Female,Poland,Website,1,0,0,Data Science,Advanced,22,85,57,73,69.0,0,0,0,Contract,1952,405.34,190.12,226.76,2774.23
27,Female,Italy,Referral,4,1,1,HR Analytics,Advanced,12,86,79,63,74.0,0,0,1,Contract,1891,363.83,193.54,222.94,2671.31
43,Female,France,Website,2,3,0,HR Analytics,Intermediate,13,75,99,63,79.8,0,0,0,Contract,2130,437.62,175.35,213.5,2956.46
22,Male,Italy,Referral,1,3,0,HR Analytics,Intermediate,22,85,49,50,56.6,1,0,0,Contract,2754,567.72,297.02,328.6,3947.34
41,Male,France,Referral,5,4,1,Business Analytics,Beginner,19,92,97,89,92.8,0,1,1,Permanent,3835,956.92,314.9,419.82,5526.64
40,Female,Italy,Website,2,7,1,ML Engineering,Advanced,21,90,81,63,75.6,0,0,1,Contract,2353,587.4,265.14,272.86,3478.4
21,Female,France,Walk-in,4,2,1,Python,Advanced,17,65,44,57,53.4,1,0,0,Contract,2729,513.15,308.37,279.84,3830.36
43,Male,Spain,Walk-in,2,6,1,Data Science,Beginner,6,67,49,70,61.0,0,0,1,Contract,1993,460.02,178.34,215.08,2846.44
31,Male,France,LinkedIn,1,2,0,Python,Beginner,5,66,89,66,75.2,0,0,0,Contract,2329,427.66,216.47,245.54,3218.67
25,Male,France,Referral,3,2,0,ML Engineering,Intermediate,4,93,60,65,68.6,0,0,0,Contract,2644,481.51,262.42,279.82,3667.75
21,Female,Germany,Email Campaign,3,6,1,ML Engineering,Intermediate,21,73,63,80,71.8,0,0,1,Contract,2438,456.82,253.23,249.81,3397.85
40,Male,France,Website,4,3,1,Business Analytics,Beginner,12,75,77,46,64.2,0,0,1,Contract,2277,563.75,208.33,264.39,3313.48
20,Male,Germany,Email Campaign,4,4,1,HR Analytics,Beginner,16,68,42,91,66.8,0,0,1,Contract,2279,560.32,236.33,228.32,3303.97
31,Male,Poland,Website,3,0,0,HR Analytics,Advanced,5,69,79,88,80.6,0,0,0,Contract,2087,403.99,191.82,221.74,2904.55
41,Male,Germany,Email Campaign,4,6,1,ML Engineering,Beginner,10,76,70,74,72.8,0,0,1,Contract,2497,477.72,205.3,258.41,3438.43
31,Male,Spain,Website,2,7,1,Business Analytics,Beginner,19,71,80,71,74.6,0,0,1,Contract,2494,490.91,199.77,278.78,3463.47
44,Male,Germany,Email Campaign,5,5,1,Business Analytics,Advanced,22,65,76,51,63.8,0,0,1,Contract,2339,505.43,196.58,245.79,3286.81
36,Female,Poland,Walk-in,5,1,1,Data Science,Beginner,18,78,41,64,57.6,1,0,1,Contract,2129,468.12,237.79,223.93,3058.84
29,Male,Spain,Website,2,7,1,HR Analytics,Intermediate,14,88,41,94,71.6,0,0,1,Contract,2269,443.62,268.78,249.06,3230.46
35,Male,Italy,Referral,5,6,1,ML Engineering,Intermediate,4,65,78,75,74.2,0,0,1,Contract,2648,616.89,257.06,299.37,3821.32
34,Male,Italy,Walk-in,1,0,0,Python,Advanced,10,84,88,67,78.8,0,0,0,Contract,2333,470.49,234.48,238.96,3276.94
34,Male,Germany,Referral,2,3,0,HR Analytics,Beginner,23,83,81,57,71.8,0,0,0,Contract,2266,554.15,194.59,234.55,3249.29
38,Male,Germany,Email Campaign,4,5,1,Data Science,Intermediate,11,84,83,61,74.4,0,0,1,Contract,2776,627.29,283.27,291.32,3977.88
31,Male,Poland,LinkedIn,2,5,1,Business Analytics,Intermediate,13,75,73,48,63.4,0,0,1,Contract,2219,467.2,190.36,265.11,3141.67
42,Male,Poland,Referral,3,5,1,ML Engineering,Intermediate,8,75,81,58,70.6,0,0,1,Contract,2945,692.94,307.6,317.89,4263.43
39,Male,France,Website,4,2,1,HR Analytics,Intermediate,12,65,59,64,62.2,0,0,1,Contract,2561,607.61,300.48,286.78,3755.87
44,Male,Poland,Website,3,1,0,Python,Beginner,4,96,72,57,70.8,0,0,0,Contract,2805,561.94,246.36,294.05,3907.34
22,Female,France,Email Campaign,4,3,1,Data Science,Beginner,5,80,43,47,52.0,1,0,0,Contract,2690,548.17,297.47,295.39,3831.02
24,Male,Spain,Referral,5,3,1,Data Science,Beginner,22,63,84,70,74.2,0,0,1,Contract,2107,517.3,170.54,213.82,3008.67
38,Female,Germany,Referral,2,5,1,HR Analytics,Beginner,17,93,83,70,79.8,0,0,1,Contract,2723,521.54,258.74,274.19,3777.47
26,Male,Spain,Referral,1,3,0,Python,Intermediate,23,87,50,62,62.2,0,0,0,Contract,2133,390.23,180.09,233.3,2936.62
40,Female,Poland,LinkedIn,4,1,1,Data Science,Advanced,13,97,81,76,82.2,0,0,1,Permanent,2941,622.86,276.75,317.55,4158.15
28,Female,Spain,Email Campaign,4,1,1,ML Engineering,Advanced,12,87,86,58,75.0,0,0,1,Contract,2821,665.99,245.26,289.82,4022.08
